Wavelength (nm),Corrected Intensity
290.0,-294.10028587
291.0,-145.67789734672974
292.0,1.7272186666666585
293.0,141.22241363714517
294.0,261.99387865666665
295.0,350.32603931887394
296.0,421.515086175
297.0,471.7352294849264
298.0,513.4389096703333
299.0,543.3810919389344
300.0,560.6859656843334
301.0,583.7244378240408
302.0,601.6878139186666
303.0,607.7157100196248
304.0,617.5656420416667
305.0,616.1400500922784
306.0,618.70159484
307.0,614.7853563087301
308.0,617.2472311386666
309.0,611.2942107583694
310.0,596.4612263213334
311.0,583.9197171465827
312.0,573.6766411336665
313.0,551.9445170223013
314.0,534.3244387566667
315.0,509.1477190993955
316.0,481.00903575000007
317.0,448.242799497842
318.0,419.6788558966667
319.0,400.30692149335283
320.0,391.36662548666663
321.0,380.585787010144
322.0,380.91022743999997
323.0,374.32459328591517
324.0,372.24014535666663
325.0,373.7830865777219
326.0,370.18439673000006
327.0,360.3472396130967
328.0,348.12009749633336
329.0,337.4985803518552
330.0,328.1251519613333
331.0,314.292225629896
332.0,304.095087676
333.0,290.8175991753762
334.0,280.2823640766667
335.0,268.3281068418483
336.0,257.21425788933334
337.0,246.56030877608885
338.0,236.89749098133336
339.0,226.49107198743164
340.0,217.80436805566663
341.0,209.8958132828783
342.0,201.050086363
343.0,192.7867666066144
344.0,184.403870863
345.0,176.7529030362695
346.0,170.79547453
347.0,162.915108860532
348.0,156.05639872566667
349.0,150.01725658834968
350.0,144.31990688723334
351.0,139.3022383743798
352.0,133.77264291506665
353.0,126.69988045877307
354.0,122.24210180033333
355.0,116.85565767370598
356.0,111.08030177466668
357.0,108.15359403360726
358.0,102.68417960853333
359.0,97.93865753203278
360.0,95.62052861693333
361.0,92.08127349981476
362.0,87.21642322520775
363.0,82.9812060223905
364.0,80.71347090228362
365.0,77.34217000200002
366.0,73.82973253236163
367.0,71.08959611767979
368.0,67.4501550242405
369.0,65.70977864341367
370.0,62.405514798266665
371.0,58.630958432934655
372.0,55.99216278358
373.0,53.66993383515442
374.0,51.7817773039
375.0,50.78764649610083
376.0,47.3479465656
377.0,45.674296547168645
378.0,43.3408411366
379.0,42.00218349569729
380.0,40.23931137786666
381.0,38.61799141902899
382.0,36.95943235203755
383.0,35.48066903434802
384.0,33.56881684794099
385.0,32.26843285333333
386.0,31.249488023017967
387.0,29.753845820945262
388.0,28.20296181576136
389.0,27.566840098970516
390.0,26.169870020666664
391.0,24.74211860407974
392.0,24.48462895533333
393.0,23.87275312482887
394.0,22.28502508
395.0,21.96069639831717
396.0,20.090700708166665
397.0,19.964290031809597
398.0,19.242544213333336
399.0,18.29983151283741
400.0,17.91071033433333
401.0,16.894909148871506
402.0,16.858054877421647
403.0,16.207280652485668
404.0,15.665987638492073
405.0,15.043291726666666
406.0,14.38839185708204
407.0,13.96815050191957
408.0,13.619424379209937
409.0,12.836497877866696
410.0,12.718765096666667
411.0,12.144535801870765
412.0,11.72145741669022
413.0,11.636886838526873
414.0,10.752320040108057
415.0,10.790759166333334
416.0,9.682508565577228
417.0,9.470452729467778
418.0,9.207065685908976
419.0,9.238942372419526
420.0,8.822164137666666
421.0,8.443912431562165
422.0,8.111362043640202
423.0,8.063451673932132
424.0,8.189203278880084
425.0,7.762953281333333
426.0,7.2333450199561256
427.0,6.942426128982143
428.0,6.693627714865402
429.0,6.524575195774281
430.0,6.477944850666667
431.0,6.350723134315608
432.0,5.966034469341758
433.0,5.910098880864931
434.0,6.172917152087546
435.0,5.883533636666667
436.0,5.907152274419558
437.0,6.070231527429245
438.0,5.6479689606224515
439.0,5.442434561564181
440.0,5.729198535666667
441.0,4.958961804627508
442.0,4.946883959804375
443.0,5.2290351977756835
444.0,4.891298342375811
445.0,4.957918724000001
446.0,4.556732220999103
447.0,5.1436018685316505
448.0,4.895952832243141
449.0,4.99693522864707
450.0,4.790461579666667
451.0,4.683443002735164
452.0,4.722513038200719
453.0,4.694053043939437
454.0,3.9595975570605617
455.0,4.33422256845176
456.0,4.367943001189027
457.0,4.147542435911642
458.0,4.0484488114642705
459.0,4.251177213956377
460.0,4.114619493
461.0,3.806015521318044
462.0,3.8067145261471254
463.0,3.689042985027731
464.0,4.173740631567244
465.0,4.056360761666667
466.0,3.979174970868648
467.0,4.134666961475536
468.0,3.9702705992575686
469.0,3.9333396775275276
470.0,3.826978643666666
471.0,3.73676438900753
472.0,3.7383908581776373
473.0,3.6653853374091856
474.0,3.8906703479574816
475.0,3.4039090496931936
476.0,3.538547724646312
477.0,3.6989141475137184
478.0,3.7827365154431507
479.0,3.5820958861929997
480.0,3.6451893848666668
481.0,3.8538554842364565
482.0,3.8157210289244117
483.0,3.484951115641261
484.0,3.7296758405829067
485.0,3.7279958922
486.0,3.400985870825101
487.0,3.5381714460802454
488.0,3.4015681512865226
489.0,3.4731441629057374
490.0,3.527001122666667
491.0,3.183820633020027
492.0,3.391636881719101
493.0,3.006601679898922
494.0,3.113086751634411
495.0,3.346575913560312
496.0,3.274272226575083
497.0,3.0505492846045317
498.0,3.2494414772740505
499.0,3.260666571000623
500.0,3.3696401512333334
501.0,3.6013955020149213
502.0,3.3588806842785672
503.0,3.1238359242998532
504.0,3.1503399381668133
505.0,3.1874883660730795
506.0,3.3716285017440106
507.0,3.533031042646082
508.0,3.3246085900197735
509.0,3.288904135267446
510.0,3.4565669096666665
511.0,3.4389598393943404
512.0,3.48518419860327
513.0,3.4026414152934814
514.0,3.2897689475919076
515.0,3.1139180261666666
516.0,3.3689345065705565
517.0,3.303896175679413
518.0,3.2983309294352012
519.0,2.932008851524225
520.0,3.2335955504333334
521.0,3.041129112104834
522.0,3.21012948765368
523.0,3.3026373604570987
524.0,3.021983482509568
525.0,3.1456847084672552
526.0,3.106711587133002
527.0,3.2737659684538487
528.0,2.9576892723130253
529.0,3.2513230587616486
530.0,3.1492501295333333
531.0,3.3080066007279134
532.0,3.241038492608228
533.0,3.1971650441598647
534.0,3.261111724140136
535.0,3.0407491851281065
536.0,3.2088191646530615
537.0,3.4236262859109585
538.0,2.791826413167216
539.0,3.1774380384867924
540.0,3.2047447764
541.0,2.7534462202776204
542.0,3.080018915346652
543.0,3.0992360192737696
544.0,3.0955720691811774
545.0,2.8950543997
546.0,2.9808306223441106
547.0,3.0064322535506594
548.0,2.978607287153103
549.0,3.0347001646811225
550.0,2.9796841541333334
551.0,3.030221654511186
552.0,3.13675773957925
553.0,2.8109142732452566
554.0,3.0544798045272743
555.0,2.613285541833333
556.0,2.6564279226080805
557.0,2.6900194989038315
558.0,2.5777159012750066
559.0,3.156812226261728
560.0,2.9284360801333333
561.0,2.631601469455136
562.0,2.464862437378047
563.0,1.6915672311005396
564.0,1.2575846314624164
565.0,-2.1444570624
566.0,-8.568574013236137
567.0,-17.121411295825517
568.0,-35.97801390348429
569.0,-64.30887985973547
570.0,-107.8232837109
571.0,-161.17420586333654
572.0,-226.78302681373944
573.0,-277.4898224548396
574.0,-320.331379115651
575.0,-340.4493615966667
576.0,-324.027600071846
577.0,-320.2459721875266
578.0,-301.0308870815517
579.0,-283.54488472514004
580.0,-248.62947272666668
581.0,-209.19166558855903
582.0,-158.5646996347683
583.0,-95.87192450285684
584.0,-33.036969653081485
585.0,12.690430176927123
586.0,54.09959660337836
587.0,80.83600657567806
588.0,103.24546199454113
589.0,115.86842577265055
590.0,125.713917584
591.0,135.70274427309772
592.0,141.4870401391947
593.0,148.0511344937959
594.0,154.05680266063973
595.0,158.2902588997
596.0,159.6593550868807
597.0,163.2981922568127
598.0,165.65286328657533
599.0,167.69416413192948
600.0,168.26891876366668
601.0,169.04569769162026
602.0,169.44092175649027
603.0,168.76913152305093
604.0,166.9301271558219
605.0,167.28600420830168
606.0,164.90086273654546
607.0,165.0800148555478
608.0,162.6382672094959
609.0,160.81896190201127
610.0,161.055463347
611.0,157.67005501663868
612.0,155.7612732886293
613.0,154.6737981104073
614.0,151.6652469125147
615.0,148.15345388774765
616.0,146.81945953232966
617.0,145.38949040410358
618.0,140.98886075635158
619.0,138.098154025413
620.0,136.08559614
621.0,132.49885925586295
622.0,129.21540284636055
623.0,125.44151912707828
624.0,122.04266045901099
625.0,118.51124540330939
626.0,115.74885533323697
627.0,112.02131094888307
628.0,108.53238645071035
629.0,103.72333835001378
630.0,99.421655991
631.0,95.88567272859349
632.0,89.3694529481347
633.0,85.15792497860497
634.0,82.13097487551752
635.0,76.45027646169605
636.0,71.78528772111548
637.0,67.53685724607139
638.0,66.3013296841599
639.0,63.10427240268882
640.0,61.515674586666655
641.0,62.22642962333333
642.0,58.76903723999999
643.0,58.8498656
644.0,58.668323523333335
645.0,58.09804567000001
646.0,58.02080726266667
647.0,57.780574479333325
648.0,57.95748297366668
649.0,58.06610489033334
650.0,57.342846867333336
651.0,57.542965457271755
652.0,57.805657820974176
653.0,55.914952687040405
654.0,55.33727147733812
655.0,53.675390990564075
656.0,52.33990764292506
657.0,50.6441919273315
658.0,49.403349424142
659.0,48.452380985631414
660.0,47.102079311333334
661.0,45.25985940166666
662.0,44.10497736966667
663.0,43.067823333
664.0,42.11279583133334
665.0,40.62189420166667
666.0,39.98457376466667
667.0,38.41236774066666
668.0,37.63737344933333
669.0,36.38923978833333
670.0,35.08716439966667
671.0,34.223939021666666
672.0,33.566642601333335
673.0,32.61795703966667
674.0,31.870160976333334
675.0,30.695838131
676.0,30.096734045666665
677.0,28.922671718666663
678.0,28.57686170166667
679.0,27.379443406
680.0,27.102675835666666
681.0,25.73022125380843
682.0,24.816577926043575
683.0,25.00612549473857
684.0,23.724786554563813
685.0,23.366396522803782
686.0,22.794233853009974
687.0,21.986398099670396
688.0,21.302968357617882
689.0,20.613930619444563
690.0,20.305763718
691.0,19.72465229366667
692.0,19.70261788366667
693.0,19.012359614666664
694.0,18.163757958333335
695.0,18.025242012333337
696.0,17.767369192666667
697.0,17.269771338666665
698.0,16.405003230000002
699.0,16.494463918666668
700.0,15.827266057666666
