Resorcinol Methanol,,
Wavelength (nm),Intensity (a.u.),
290,18.67235565,
292,72.8681488,
294,225.496933,
296,462.5375366,
298,732.1652832,
300,948.5466309,
302,998.8143921,
304,998.8143921,
306,998.8143921,
308,998.8143921,
310,998.8143921,
312,998.8143921,
314,998.8143921,
316,932.4237671,
318,905.8831787,
320,824.4646606,
322,770.3022461,
324,694.0008545,
326,664.8471069,
328,575.7537231,
330,548.8543701,
332,485.9829407,
334,446.79245,
336,401.446106,
338,363.1097717,
340,336.3583069,
342,306.7558289,
344,276.0276489,
346,249.736496,
348,222.7957611,
350,204.9539948,
352,190.3989716,
354,174.6962433,
356,158.1233673,
358,142.416626,
360,124.4809494,
361.9599915,114.5628891,
363.9299927,106.3498764,
366.0599976,101.3656235,
368.0299988,85.59680939,
370,79.01274109,
372,71.65492249,
374,65.18942261,
376,60.16996765,
378,55.79972458,
380,50.06166077,
381.9599915,44.89220047,
383.9299927,42.72996902,
386.0599976,36.51242828,
388.0299988,32.41930771,
390,28.64075661,
392,28.52658463,
394,25.3555069,
396,23.4779892,
398,20.29069519,
400,19.21593094,
401.9599915,18.36437988,
403.9299927,16.06623077,
406.0599976,13.52273369,
408.0299988,13.81487656,
410,12.83398724,
411.9599915,9.559615135,
413.9299927,11.06757832,
416.0599976,8.148349762,
418.0299988,8.485508919,
420,7.126724243,
421.9599915,7.290673256,
423.9299927,6.097049713,
426.0599976,6.837404251,
428.0299988,3.856692076,
430,4.76984024,
431.9599915,4.335459709,
433.9299927,3.610491991,
436.0599976,3.52783227,
438.0299988,3.954217672,
440,3.345965147,
441.9599915,2.157346249,
443.9299927,2.709671259,
446.0599976,2.31397295,
448.0299988,2.385147572,
450,2.00274539,
451.9400024,1.679895401,
454.019989,1.492815256,
455.9700012,2.223488808,
458.0499878,1.547121286,
460,1.512884378,
461.9599915,1.373849869,
463.9299927,0.8243072033,
466.0599976,1.076477528,
468.0299988,0.8429000378,
470,0.8813254833,
471.9400024,1.315038681,
474.019989,0.4995911121,
475.9700012,0.4683419466,
478.0499878,0.6375645399,
480,0.8092396259,
481.9599915,0.4203882217,
483.9299927,0.6286790371,
486.0599976,0.6356816292,
488.0299988,0.7189613581,
490,0.6252582073,
491.9400024,0.4866691828,
494.019989,0.359490037,
495.9700012,0.1697100401,
498.0499878,0.2732503414,
500,0.07856094837,
501.9400024,-0.01749646664,
504.019989,-0.2255032659,
505.9700012,0.3535736799,
508.0499878,0.0149037838,
510,0.2377227545,
512.0499878,0.169636488,
513.9699707,0.0318056345,
516.0200195,-0.1076866388,
517.9400024,0.1810125113,
520,0.236540556,
521.9400024,0.3026555777,
524.0200195,0.1109633446,
525.9699707,-0.3757932186,
528.0499878,-0.1156579256,
530,-0.146628499,
531.9400024,-0.177975297,
534.0200195,-0.1781004667,
535.9699707,-0.1273413897,
538.0499878,-0.1160093546,
540,-0.1262438297,
542.0499878,0.04897844791,
543.9699707,0.03619897366,
546.0200195,-0.06996643543,
547.9400024,0.3484743834,
550,-0.0754942894,
552.0499878,-0.09232664108,
553.9699707,-0.2035071254,
556.0200195,-0.06278705597,
557.9400024,0.3462113142,
560,0.08463442326,
562.0499878,0.01326990128,
563.9699707,0.1051076651,
566.0200195,-0.2398070693,
567.9400024,0.2108922005,
570,0.3765232563,
572.0499878,1.629556417,
573.9699707,1.611598253,
576.0200195,1.052097797,
577.9400024,1.176672697,
580,1.025051594,
582.0200195,3.406192541,
584.0499878,9.930592537,
585.9400024,22.64833832,
587.9699707,52.67119598,
590,91.97566986,
592.0499878,144.8844757,
593.9699707,183.7724915,
596.0200195,229.8483276,
597.9400024,258.4499512,
600,271.5569763,
602.0200195,294.9717407,
604.0499878,291.5369873,
605.9400024,300.2142639,
607.9699707,288.9530029,
610,271.7059937,
612.0200195,278.3373718,
614.0499878,261.7965698,
615.9400024,255.6955109,
617.9699707,240.601593,
620,245.1248474,
622.0200195,226.5326691,
624.0499878,218.1078033,
625.9400024,207.0318909,
627.9699707,193.9822388,
630,176.9129944,
632.0200195,171.1088562,
634.0499878,163.6035309,
635.9400024,150.1691437,
637.9699707,144.5097656,
640,139.8768616,
642,124.2442474,
644,120.2654419,
646,114.6276779,
648,103.3918076,
650,100.4373093,
652.0200195,90.13048553,
654.0499878,85.9189682,
655.9400024,84.16320801,
657.9699707,75.7496109,
660,69.94437408,
662,65.15550232,
664,61.15293503,
666,58.82424545,
668,51.41140747,
670,48.15736389,
672,46.29932404,
674,44.41994476,
676,41.93503189,
678,40.29319382,
680,34.88118362,
681.9699707,33.50699615,
683.9400024,31.83952332,
686.0499878,32.0179863,
688.0200195,25.51975632,
690,25.65121841,
692,26.30926514,
694,21.84851456,
696,21.69802475,
698,20.37312317,
700,19.54037094,

Resorcinol Methanol,
Resorcinol Methanol
Collection Time: 4/28/2025 1:43:34 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY17430002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        290.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               288.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                1200.00
Data interval (nm)                2.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/28/2025 9:34:43 AM
Method Modifications:
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 9:36:12 AM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 9:36:35 AM, Old:600, New:800
Ex. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Em. Slit Width (nm): Changed: 4/28/2025 9:36:35 AM, Old:5, New:10
Emission PMT (V): Changed: 4/28/2025 9:36:35 AM, Old: 600, New: 800
Excitation Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 350.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/28/2025 9:36:35 AM, Old: 600.00, New: 700.00
Zero Mode Changed: 4/28/2025 9:36:36 AM, Old:ON, New:OFF
User Delta Increment Changed: 4/28/2025 9:40:22 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 300.00, New: 500.00
Stop Wavelength Changed: 4/28/2025 9:40:22 AM, Old: 700.00, New: 800.00
Ex. Slit Width (nm): Changed: 4/28/2025 9:40:50 AM, Old:10, New:5
Em. Slit Width (nm): Changed: 4/28/2025 9:40:50 AM, Old:10, New:5
Excitation Wavelength Changed: 4/28/2025 9:50:42 AM, Old: 450.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 9:50:42 AM, Old: 500.00, New: 300.00
Stop Wavelength Changed: 4/28/2025 9:50:52 AM, Old: 800.00, New: 700.00
Ex. Slit Width (nm): Changed: 4/28/2025 10:00:54 AM, Old:5, New:2.5
Em. Slit Width (nm): Changed: 4/28/2025 10:00:54 AM, Old:5, New:2.5
PMT Volts Changed: 4/28/2025 10:01:27 AM, Old:800, New:600
Ex. Slit Width (nm): Changed: 4/28/2025 10:01:27 AM, Old:2.5, New:5
Em. Slit Width (nm): Changed: 4/28/2025 10:01:27 AM, Old:2.5, New:5
Emission PMT (V): Changed: 4/28/2025 10:01:27 AM, Old: 800, New: 600
PMT Volts Changed: 4/28/2025 10:29:17 AM, Old:600, New:800
Emission PMT (V): Changed: 4/28/2025 10:29:17 AM, Old: 600, New: 800
PMT Volts Changed: 4/28/2025 10:36:23 AM, Old:800, New:600
Emission PMT (V): Changed: 4/28/2025 10:36:23 AM, Old: 800, New: 600
Excitation Wavelength Changed: 4/28/2025 10:36:42 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 10:36:42 AM, Old: 300.00, New: 500.00
User Delta Stop Changed: 4/28/2025 10:37:33 AM, Old: 450.00, New: 532.00
Excitation Wavelength Changed: 4/28/2025 10:37:33 AM, Old: 450.00, New: 532.00
Emission Wavelength Changed: 4/28/2025 10:37:33 AM, Old: 500.00, New: 550.00
Zero Mode Changed: 4/28/2025 10:40:03 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 10:40:03 AM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 10:40:13 AM, Old:600, New:800
Emission PMT (V): Changed: 4/28/2025 10:40:13 AM, Old: 600, New: 800
Excitation Wavelength Changed: 4/28/2025 10:40:13 AM, Old: 532.00, New: 288.00
Zero Mode Changed: 4/28/2025 10:40:13 AM, Old:ON, New:OFF
Excitation Wavelength Changed: 4/28/2025 10:42:47 AM, Old: 288.00, New: 450.00
Emission Wavelength Changed: 4/28/2025 10:42:47 AM, Old: 550.00, New: 500.00
Zero Mode Changed: 4/28/2025 10:48:18 AM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 10:48:19 AM, Old:Reading, New:ON
Excitation Wavelength Changed: 4/28/2025 10:50:10 AM, Old: 450.00, New: 288.00
Emission Wavelength Changed: 4/28/2025 10:50:21 AM, Old: 500.00, New: 300.00
Emission Wavelength Changed: 4/28/2025 10:50:47 AM, Old: 300.00, New: 290.00
Zero Mode Changed: 4/28/2025 12:12:01 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:12:01 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:15:16 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:15:16 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:16:01 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:16:01 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:33:43 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:33:43 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 12:37:23 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 12:37:23 PM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 12:45:50 PM, Old:800, New:600
Emission PMT (V): Changed: 4/28/2025 12:45:50 PM, Old: 800, New: 600
Zero Mode Changed: 4/28/2025 12:45:50 PM, Old:ON, New:OFF
Zero Mode Changed: 4/28/2025 12:55:31 PM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 12:55:31 PM, Old:Reading, New:ON
PMT Volts Changed: 4/28/2025 1:10:00 PM, Old:600, New:800
Emission PMT (V): Changed: 4/28/2025 1:10:00 PM, Old: 600, New: 800
Zero Mode Changed: 4/28/2025 1:10:00 PM, Old:ON, New:OFF
Zero Mode Changed: 4/28/2025 1:13:17 PM, Old:OFF, New:Reading
Zero Mode Changed: 4/28/2025 1:13:17 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 1:20:23 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 1:20:23 PM, Old:Reading, New:ON
Zero Mode Changed: 4/28/2025 1:28:39 PM, Old:ON, New:Reading
Zero Mode Changed: 4/28/2025 1:28:39 PM, Old:Reading, New:ON
Scan Control Changed: 4/28/2025 1:36:24 PM, Old:Medium, New:Fast
Data interval: Changed: 4/28/2025 1:36:24 PM, Old:   1.00, New:   2.00
End Method Modifications

